Time/h,Lat,Lon,VTEC
17,15,-120,117
18,15,-120,143
19,15,-120,159
20,15,-120,167
21,15,-120,175
22,15,-120,183
23,15,-120,193
0,15,-120,198
1,15,-120,192
2,15,-120,175
3,15,-120,151
4,15,-120,118
5,15,-120,99
6,15,-120,81
7,15,-120,70
8,15,-120,65
9,15,-120,59
10,15,-120,55
11,15,-120,52
12,15,-120,52
13,15,-120,49
14,15,-120,73
15,15,-120,101
16,15,-120,118
17,15,-120,127
18,15,-120,144
19,15,-120,161
20,15,-120,167
21,15,-120,182
22,15,-120,190
23,15,-120,191
0,15,-120,188
1,15,-120,177
2,15,-120,164
3,15,-120,149
4,15,-120,107
5,15,-120,74
6,15,-120,63
7,15,-120,53
8,15,-120,54
9,15,-120,51
10,15,-120,51
11,15,-120,45
12,15,-120,41
13,15,-120,39
14,15,-120,61
15,15,-120,92
16,15,-120,107
17,15,-120,115
18,15,-120,132
19,15,-120,158
20,15,-120,175
21,15,-120,191
22,15,-120,200
23,15,-120,202
0,15,-120,205
1,15,-120,193
2,15,-120,175
3,15,-120,143
4,15,-120,106
5,15,-120,83
6,15,-120,71
7,15,-120,63
8,15,-120,60
9,15,-120,54
10,15,-120,49
11,15,-120,45
12,15,-120,43
13,15,-120,40
14,15,-120,60
15,15,-120,92
16,15,-120,108
17,15,-120,123
18,15,-120,139
19,15,-120,152
20,15,-120,171
21,15,-120,197
22,15,-120,206
23,15,-120,204
0,15,-120,207
1,15,-120,188
2,15,-120,186
3,15,-120,166
4,15,-120,112
5,15,-120,70
6,15,-120,59
7,15,-120,53
8,15,-120,49
9,15,-120,45
10,15,-120,45
11,15,-120,39
12,15,-120,40
13,15,-120,41
14,15,-120,60
15,15,-120,87
16,15,-120,89
17,15,-120,100
18,15,-120,125
19,15,-120,140
20,15,-120,162
21,15,-120,189
22,15,-120,195
23,15,-120,188
0,15,-120,182
1,15,-120,175
2,15,-120,179
3,15,-120,154
4,15,-120,103
5,15,-120,78
6,15,-120,67
7,15,-120,58
8,15,-120,56
9,15,-120,50
10,15,-120,46
11,15,-120,42
12,15,-120,41
13,15,-120,39
14,15,-120,54
15,15,-120,81
16,15,-120,92
17,15,-120,109
18,15,-120,137
19,15,-120,151
20,15,-120,177
21,15,-120,203
22,15,-120,220
23,15,-120,223
0,15,-120,224
1,15,-120,208
2,15,-120,193
3,15,-120,174
4,15,-120,133
5,15,-120,98
6,15,-120,77
7,15,-120,66
8,15,-120,65
9,15,-120,56
10,15,-120,54
11,15,-120,49
12,15,-120,45
13,15,-120,43
14,15,-120,66
15,15,-120,90
16,15,-120,100
17,15,-120,113
18,15,-120,136
19,15,-120,144
20,15,-120,163
21,15,-120,183
22,15,-120,174
23,15,-120,174
0,15,-120,171
1,15,-120,158
2,15,-120,162
3,15,-120,150
4,15,-120,107
5,15,-120,77
6,15,-120,70
7,15,-120,62
8,15,-120,60
9,15,-120,53
10,15,-120,53
11,15,-120,45
12,15,-120,42
13,15,-120,38
14,15,-120,59
15,15,-120,84
16,15,-120,87
17,15,-120,98
18,15,-120,113
19,15,-120,127
20,15,-120,137
21,15,-120,151
22,15,-120,161
23,15,-120,169
0,15,-120,182
1,15,-120,190
2,15,-120,193
3,15,-120,155
4,15,-120,103
5,15,-120,75
6,15,-120,58
7,15,-120,51
8,15,-120,46
9,15,-120,43
10,15,-120,43
11,15,-120,40
12,15,-120,41
13,15,-120,37
14,15,-120,60
15,15,-120,88
16,15,-120,89
17,15,-120,104
18,15,-120,130
19,15,-120,143
20,15,-120,165
21,15,-120,189
22,15,-120,187
23,15,-120,191
0,15,-120,197
1,15,-120,196
2,15,-120,193
3,15,-120,166
4,15,-120,120
5,15,-120,83
6,15,-120,64
7,15,-120,57
8,15,-120,54
9,15,-120,49
10,15,-120,48
11,15,-120,41
12,15,-120,40
13,15,-120,40
14,15,-120,61
15,15,-120,84
16,15,-120,88
17,15,-120,99
18,15,-120,115
19,15,-120,122
20,15,-120,139
21,15,-120,168
22,15,-120,186
23,15,-120,208
0,15,-120,208
1,15,-120,183
2,15,-120,167
3,15,-120,147
4,15,-120,121
5,15,-120,95
6,15,-120,70
7,15,-120,57
8,15,-120,56
9,15,-120,53
10,15,-120,48
11,15,-120,38
12,15,-120,38
13,15,-120,37
14,15,-120,58
15,15,-120,88
16,15,-120,100
17,15,-120,120
18,15,-120,134
19,15,-120,144
20,15,-120,172
21,15,-120,208
22,15,-120,222
23,15,-120,232
0,15,-120,232
1,15,-120,237
2,15,-120,239
3,15,-120,191
4,15,-120,116
5,15,-120,80
6,15,-120,69
7,15,-120,66
8,15,-120,64
9,15,-120,59
10,15,-120,56
11,15,-120,48
12,15,-120,48
13,15,-120,43
14,15,-120,62
15,15,-120,88
16,15,-120,100
17,15,-120,112
18,15,-120,132
19,15,-120,147
20,15,-120,174
21,15,-120,204
22,15,-120,233
23,15,-120,254
0,15,-120,256
1,15,-120,236
2,15,-120,212
3,15,-120,180
4,15,-120,146
5,15,-120,130
6,15,-120,110
7,15,-120,83
8,15,-120,68
9,15,-120,55
10,15,-120,52
11,15,-120,45
12,15,-120,45
13,15,-120,43
14,15,-120,65
15,15,-120,92
16,15,-120,97
17,15,-120,113
18,15,-120,131
19,15,-120,137
20,15,-120,154
21,15,-120,165
22,15,-120,165
23,15,-120,185
0,15,-120,200
1,15,-120,218
2,15,-120,217
3,15,-120,178
4,15,-120,138
5,15,-120,112
6,15,-120,82
7,15,-120,68
8,15,-120,63
9,15,-120,55
10,15,-120,54
11,15,-120,45
12,15,-120,44
13,15,-120,48
14,15,-120,70
15,15,-120,101
16,15,-120,113
17,15,-120,126
18,15,-120,140
19,15,-120,148
20,15,-120,165
21,15,-120,182
22,15,-120,191
23,15,-120,220
0,15,-120,240
1,15,-120,245
2,15,-120,224
3,15,-120,196
4,15,-120,166
5,15,-120,116
6,15,-120,92
7,15,-120,86
8,15,-120,76
9,15,-120,61
10,15,-120,57
11,15,-120,50
12,15,-120,51
13,15,-120,45
14,15,-120,62
15,15,-120,95
16,15,-120,107
17,15,-120,111
18,15,-120,125
19,15,-120,132
20,15,-120,149
21,15,-120,163
22,15,-120,175
23,15,-120,197
0,15,-120,211
1,15,-120,211
2,15,-120,196
3,15,-120,181
4,15,-120,141
5,15,-120,100
6,15,-120,76
7,15,-120,64
8,15,-120,57
9,15,-120,50
10,15,-120,54
11,15,-120,49
12,15,-120,47
13,15,-120,44
14,15,-120,65
15,15,-120,94
16,15,-120,101
17,15,-120,110
18,15,-120,125
19,15,-120,136
20,15,-120,146
21,15,-120,158
22,15,-120,166
23,15,-120,189
